Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Tianjin Port Development Holdings Limited ,Port operations,,http://www.tianjinportdev.com/,Chairman : Mr. Yu Rumin,,2005,"Hong Kong , People's Republic of China"
Tiangong International Limited ,High speed steel manufacturing,,http://www.tggj.cn/,Chairman : Mr. Zhu Xiaokun,,1984,"Danyang , Jiangsu , People's Republic of China"
Tencent Holdings Limited,Conglomerate,"54,309 (Dec 31 2018) [1]",https://www.tencent.com/en-us/index.html,"Ma Huateng ( Chairman , CEO ) Martin Lau ( President )",CN¥ 312.694 billion (2018) [1],11 November 1998 ; 20 years ago ( 1998-11-11 ),"Tencent Binhai Mansion , Nanshan District , Shenzhen , China Macau , China"
Techtronic Industries Company Limited ,Manufacturing company ( power tools and electronic equipment ),,http://www.ttigroup.com/,"Joseph Galli, Steve Richman, Mike Farrah",,1985 ; 34 years ago ( 1985 ),Hong Kong
TCL Electronics,,,"http://electronics.tcl.com,https://www.wikidata.org/wiki/Q29468800?uselang=en#P856",Li Dongsheng (Chairman) Bo Lianming (CEO),,19 November 1999 ( 1999-11-19 ),"Shenzhen, China (general office) Cayman Islands (registered office) Tsuen Wan, Hong Kong (HK office)"
Tai Ping Carpets,Interior Design,,http://www.houseoftaiping.com/,,,1956 ( 1956 ),"909 Cheung Sha Wan Road Cheung Sha Wan , Kowloon Hong Kong"
Swire Group,Conglomerate,"130,783",http://www.swire.com/,"Barnaby Swire , Chairman, John Swire & Sons Limited, Merlin Swire , (Chairman, Swire Pacific)",,1816 ; 203 years ago ( 1816 ),Hong Kong (Operational HQ) London (Registered HQ) [1] (Hong Kong but with registered office in London for John Swire & Sons Limited (UK) and some other related entities and subsidiaries)
Sunac China Holdings Limited,Real estate,"24,105",http://www.sunac.com.cn/,Sun Hongbin (Chairman),,2003,
Taiwan Top50 Tracker Fund ,,,http://etrade.fsit.com.tw/ETF/en/funds/en_fundprofile_01.aspx?fund_id=006208,,,2012,"Taipei , Taiwan"
Springland,Retail,,http://www.springlandgroup.com.cn/,Chen Jianqiang (Executive Director) Tao Qingrong (CEO & Executive Director) Fung Hiu Lai (Executive Director & VP) Wang Lin (Non-Executive Director) Fung Hiu Chuen (Non-Executive Director). [2],¥ 8696.80 Million ( 2011 ) [4],"January 1, 1996 ( 1996-01-01 )","Wuxi , China"
Sun Hung Kai Properties Limited,Real estate,"About 38,000",http://www.shkp.com,"Raymond Kwok , Chairman and Managing Director",HKD 85.3 billion (2018/19 FY),1963 in Hong Kong (as SHK Enterprises) 1972 (as SHK Properties) [1],"45/F, Sun Hung Kai Centre, 30 Harbour Road, Wanchai, Hong Kong"
Swire Properties,Property,"4,500",http://www.swireproperties.com,Merlin Swire (Chairman) Guy Bradley (CEO),,1972,Hong Kong
Teamway International Group Holdings,"manufacturing, conglomerate",,http://www.teamwaygroup.com,Xu Gefei (chairman) [1],CN¥ 379 million (2017),4 January 2011 ; 8 years ago ( 2011-01-04 ),"Grand Cayman, Cayman Islands (legal) Tsim Sha Tsui, Hong Kong ( de facto )"
Sun Hung Kai & Co. Limited ,Financial Services,,http://www.shkco.com,Chairman: Mr. Lee Seng Huang,,1969,"Hong Kong , People's Republic of China"
Star Cruises,Passenger transportation & Cruises,,http://www.starcruises.com/,"Tan Sri Lim Kok Thay , CEO & Founder",,1993,"Hong Kong, Asia"
SouthGobi Resources Ltd.,,,https://www.southgobi.com,,,,
Sinopharm Group,Pharmaceutical,,"http://www.sinopharmgroup.com.cn,https://www.wikidata.org/wiki/Q7524930?uselang=en#P856",Wei Yulin (Chairman) Chen Qiyu (Vice-Chairman) Li Zhiming ( President ),CN¥227.069 billion (2015),1998 (predecessor) 2003,"Sinopharm Plaza, Shanghai , China"
SmarTone Telecommunications Holdings,Mobile telecommunication,"1,898 [1] : 12 (full-time only, 30 June 2018)",http://www.smartone.com,Raymond Kwok (Chairman) Anna Yip (CEO) [1],,1992 in British Hong Kong,Hong Kong
SOHO China ,Real estate,,http://www.sohochina.com,Chairman : Pan Shiyi CEO : Zhang Xin,US$989 million (2018),1995,"Beijing , People's Republic of China (de facto) Cayman Islands (Incorporated Office)"
"Hong Kong Skyworth Digital Holdings Co., Ltd.",Electronics,,http://www.skyworth.com,"Zhang Xuebin, CEO, Executive Director",,1988 ; 31 years ago ( 1988 ),"Shenzhen , Guangdong , China"
Standard Chartered PLC,"Banking, Financial services",,https://www.sc.com,José Viñals ( Group Chairman ) Bill Winters ( Group Chief Executive ),US$ 14.789 billion (2018) [1],First branch in 1853 ; 166 years ago ( 1853 ) Final incorporation in 1969 ; 50 years ago ( 1969 ),"London , England , UK"
Sinofert Holdings Limited,Chemical fertilizer,,http://www.sinofert.com/en,Chairman : Mr. Liu Shude,,1994,"Beijing , People's Republic of China"
Sinotruk (Hong Kong) Limited,manufacturing,,http://www.sinotruk.com,Cai Dong ( Chairman and President),,31 January 2007 ; 12 years ago ( 2007-01-31 ),"Hong Kong SAR, China (registered office) Ji'nan , China ( de facto )"
Sino-Ocean Group ,Real estate,,https://www.sinooceangroup.com/,Chairman: Li Ming (李明),,1993,"Beijing , China"
Sino Group ,Property and Hotel,,http://www.sino.com/,"Robert Ng , Chairman & CEO",,1970,Hong Kong
Sinotrans ,Shipping and Logistics,"23,971 [3]",http://www.sinotrans.com/col/col3771/index.html,Chairman : Mr. Wang Hong [1],72.567 billion renminbi (2015) [2],2002,"Beijing , People's Republic of China"
China Petroleum & Chemical Corporation,Oil and gas,"249,142 (2018) [4]",http://www.sinopec.com/listco/en/,Zhao Dong (Chairman) [1] Dai Houliang [2] (Vice Chairman & President) Chang Zhenyong (Vice President) [3],"CN¥ 2,124,901 million (2017); US$ 314.4 billion [4]","Beijing , China (2000 ; 19 years ago ( 2000 ) )","Chaoyang District , Beijing , China"
Sino Hotels (Holdings) Limited ,Hotel management,,http://www.sino-land.com/,Chairman : Mr. Robert Ng,,1994,"Hong Kong , People's Republic of China"
Shun Tak Holdings Limited,,,http://www.shuntakgroup.com,,,1972,Macau
Shui On Land Limited ,real estate,,http://www.shuionland.com/,Chairman : Louis Lo,,2004,"Shanghai , People's Republic of China"
Shougang Concord International Enterprises Company Limited ,Conglomerate,,http://www.shougang-intl.com.hk/,Chairman : Mr. Wang Qinghai,,1993 ; 26 years ago ( 1993 ),"Hong Kong , People's Republic of China"
Sino Land Company Limited ,Real estate,,http://www.sino.com/,Chairman : Mr. Robert Ng,,1981,"Hong Kong Island , Hong Kong"
Shengjing Bank,,,http://www.shengjingbank.com.cn,,,18 October 1998,
Sincere Department Store,Fashion retailing,587,http://www.sincere.com.hk/corporation/indexen.html,"Board Chair Walter K.W. Ma , managing director/Executive Director Philip K.H. Ma and board member King Wing Ma","HKD 458,410,000 (2011)",1900,"Hong Kong, China Taiwan, Australia, United Kingdom, Hong Kong"
Shanghai Petrochemical ,Chemical industry,,http://www.spc.com.cn/enspc/spc/index.php,Chairman : Mr. Rong Guangdao,,1972,"Jinshan District , Shanghai , China"
Shangri-La Hotels and Resorts,Hospitality,,http://www.shangri-la.com/,,,1971 ( 1971 ),Hong Kong
Shenzhen Investment Limited ,Conglomerate,,http://www.shenzheninvestment.com/,Chairman : Mr. Hu Aimin,,1991,"Hong Kong , People's Republic of China"
Shanghai Industrial Holdings Limited ,Conglomerate,,http://www.siic.com/sc/index.htm,Chairman : Mr. Teng Yilong,,1996 ; 23 years ago ( 1996 ),"Hong Kong , People's Republic of China"
Shenzhen International Holdings Limited ,Logistics,,http://www.szihl.com/,Chairman : Mr. Guo Yuan,,2000,"Hong Kong , People's Republic of China"
Shanghai Electric Group Company Limited ,"Engineering , capital goods",,http://www.shanghai-electric.com/,Huang Dinan (黄迪南) (Chairman & CEO),,2004,"Shanghai , China"
Sing Tao News Corporation Limited,Media,,http://www.singtaonewscorp.com,"Charles Ho Tsu Kwok (Chairman) Siu Sai Wo, (CEO) Louis Lau Chung Man (CFO)",,1996 [1],Hong Kong
Sa Sa International Holdings Limited,,"5,057",http://corp.sasa.com/en/company-overview/company-profile/,,,1978,"Chai Wan , Hong Kong"
S E A Holdings Limited,Property,,http://www.seagroup.com.hk,Lu Wing-Chi (chairman) Lambert Lu (CEO),,1956,Bermuda (registered office) Hong Kong ( de facto )
Semiconductor Manufacturing International Corporation,Semiconductor,"18,015 (2018)",http://www.smics.com/,Haijun Zhao (CEO),US$ 3.36 billion (2018),2000 ; 19 years ago ( 2000 ) Cayman Islands,"Shanghai , China"
San Miguel Brewery Hong Kong Ltd. 香港生力啤酒廠有限公司,,,"http://info.sanmiguel.com.hk/,http://www.sanmiguel.com.hk/",Ramon S. Ang (Chairman) Ramon G. Torralba (Executive Director),,1948,"9/F, Citimark Building, 28 Yuen Shun Circuit, Siu Lek Yuen, Shatin , New Territories , Hong Kong"
Royale Furniture Holdings Limited ,Furniture,"3,800",http://www.hkroyal.com/,Mr. Tse Kam Pang ( Chairman ) Ma Gary Ming Fai ( Chief executive officer ) Zeng Le Jin Lam Toi,,1997,"Hong Kong , People's Republic of China"
Guangzhou R&F Properties ,Real estate development,,http://www.rfchina.com/,Chairman : Mr. Li Szelin Vice-chairman : Mr. Zhang Li,,1994,"Guangzhou , China"
Regal International Airport Group,Transport,,http://www.mlairport.com,,CN¥ 1.063 billion (2015),18 November 2000 ( 2000-11-18 ),"Meilan Airport , Haikou, Hainan , China"
Shandong Molong Petroleum Machinery Company Limited ,Petroleum machinery,,http://www.molonggroup.com/en/index.asp,Chairman : Mr. Zhang En-rong,,1987,"Shouguang , Shandong , China"
Qunxing Paper ,Paper manufacturing,,http://www.qxpaper.com/,Chairman : Mr. Zhu Yuguo,,1999,"Zouping , Shandong , People's Republic of China"
Regal Hotels Int'l Holdings Ltd.,Property,"1,650",http://www.regalhotel.com/,"Lo Yuk Sui , Chairman and Managing Director","HK$1,141m (2005)",,Hong Kong
Samsonite International S.A.,,,http://samsonite.com,Kyle Gendreau [1],,"Denver , Colorado , 1910 ( 1910 )","Luxembourg City , Luxembourg (registered office) Tsim Sha Tsui , Hong Kong (financial)"
RoadShow Holdings Limited ,media advertising,123 (as at 31 Dec 2016),http://www.roadshow.hk/,Chairman : Dr. John Chan Cho Chak Managing Director : Mr. Loh Chan Stephen,"HK$407,511,000 (2016 financial year)",December 2000,"Hong Kong , incorporated in Bermuda"
Pou Sheng International (Holdings) Limited ,sportswear retailing,,"http://www.pousheng.com/,http://www.yysports.com/",Chairman : David Tsai Nai Fung,,1992,"Hong Kong , China"
"Poly Property Group Co., Ltd.",Real estate development,,http://www.polyhongkong.com.hk,Xue Ming (chairman) Han Qingtao (managing director),HK$ 0 30.580 billion (2016),27 February 1973 ; 46 years ago ( 1973-02-27 ),"Hong Kong S.A.R., China (registered office) Shanghai, China ( de facto ) [1]"
Postal Savings Bank of China,,,http://www.psbc.com,President Lu Jiajin Chairman Li Quohua,,"March 6, 2007 (12 years ago) ( 2007-03-06 )","No. 3 Financial Street, Xicheng District, Beijing, PRC"
Playmates Toys Limited,Toy industry,,https://playmatestoys.com/,To Shu Sing ( chairman ),,1979 ; 40 years ago ( 1979 ),"Hong Kong , China"
Ping An Insurance,Financial Services,,http://www.pingan.cn,Ma Mingzhe ( Chairman & CEO ),"CN¥1,082.1 Billion (2018)",1988 ; 31 years ago ( 1988 ),"Shenzhen , China"
Power Assets Holdings Limited,Public Utility,,http://www.powerassets.com,,,,Hong Kong
Prudential plc,Financial services,,http://www.prudentialplc.com/,Paul Manduca (Chairman) Mike Wells (Group Chief Executive),£ 24.931 billion (2018) [1],1848 ; 171 years ago ( 1848 ) ( London ),"London , EC4 United Kingdom"
Pico Far East Holdings Limited,Event marketing,"Over 2,000 (2016)",http://www.pico.com/,Lawrence Chia (Chairman),US$511 million (2017),1969,"Pico House, 4 Dai Fu Street, Tai Po Industrial Estate, N.T., Hong Kong, China"
Peking University Resources (Holdings),"Real Estate, Information Technology",,http://www.pku-resources.com,Cheung Shuen Lung ( Chairman ) Zeng Gang ( President ) Sun Min ( Executive director ) Shi Hua (Executive director) Liao Hang (Executive director) Zheng Fu Shuang (Executive director) [1],HK$15.394 billion (2016),1991 (as MIT) 1992 (as PKU Resources Group) 2000 (backdoor listing as EC-Founder) 2013 (renamed as PKU Resources),"Tsuen Wan, Hong Kong (general office) Hamilton, Bermuda (registered office)"
Phoenix Satellite Television Holdings Limited,Broadcasting,,"http://phtv.ifeng.com,https://www.wikidata.org/wiki/Q724186?uselang=en#P856","Liu Changle (Chairman and chief executive officer), Chui Keung (Deputy chief executive officer, Chief Compliance Officer), Liu Shuang (Chief Operating Officer of Phoenix Satellite TV, CEO of Phoenix New Media)","HK$1,530.505m (2009) [1]",1996,"Tai Po , New Territories , Hong Kong"
PetroChina Company Limited,Oil and gas,"303,032 (2018) [2]",http://www.petrochina.com.cn/ptr/,Zhou Jiping ( Chairman ); Wang Dongjin( CEO ) [1],"CN¥ 2,015,890 million (2017) [2]","November 5, 1999 ; 19 years ago ( 1999-11-05 )","Dongcheng District , Beijing , China"
Razer Inc.,,"1,451 [2] (2019)",http://razer.com,Min-Liang Tan ( CEO & Creative Director) Robert Krakoff ( President ) Khaw Kheng Joo ( COO ),,"1998 ; 21 years ago ( 1998 ) in San Diego , California, U.S.","Singapore [1] San Francisco, California , United States [2] [3] [4]"
People's Insurance Company of China,Property insurance,,http://www.piccnet.com.cn/,Chairman : Wu Yan,,1949 ; 70 years ago ( 1949 ),"Beijing , People's Republic of China"
Pacific Basin Shipping Limited ,Shipping,,http://www.pacificbasin.com/,David Muir Turnbull ( Chairman ) Mats Henrik Berglund ( CEO ),,1987,"31/F One Island South, 2 Heung Yip Road, Wong Chuk Hang, Hong Kong"
Pacific Andes Food Ltd,Food,,http://www.pacificandes.com,,,1986,
Prada S.p.A.,"Apparels , accessories","12,414 (2015) [3]",http://www.prada.com,Miuccia Prada ( head designer ) Carlo Mazzi ( Chairman & Executive Director ) nicht Wassil ( CEO ) Kiril Micev ( CFO ),US$ 3.91 billion (2016) [1],1913 ; 106 years ago ( 1913 ) (as Fratelli Prada),"Milan , Italy"
Nine Dragons Paper Holdings ,Papermaking,,http://www.ndpaper.com/eng/global/,"Miss Zhang Yin, ( Chairwoman )",US$ 2.7 Billion (2010),(1994),"Hong Kong , China"
Orient Securities,Financial services,,"http://www.dfzq.com.cn,https://www.wikidata.org/wiki/Q24727812?uselang=en#P856",,CN¥15.435 billion (2015),1998,"Shanghai , China"
Nanjing Panda Electronics Co Ltd,Information technology Electronics,,http://www.panda.cn/,,US$ 5 billion (2007) [1],1936 ; 83 years ago ( 1936 ),"Nanjing, China"
PCCW Ltd.,Telecommunications,"24,000 (2018)",http://www.pccw.com,"Richard Li , Chairman, B.G. Srinivas  Group Managing Director [1]",,24 April 1979 ; 40 years ago ( 1979-04-24 ),Hong Kong
Orient Overseas (International) Limited,Shipping and Logistics,,http://www.ooilgroup.com,Chairman : Mr. Tung Chee-chen,,1969,Hong Kong (Principal Office) Bermuda (Registered Office)
Next Digital Limited ,Media,"4,041 (as of 30 Sep 2013)",http://www.nextdigital.com.hk/investor/,"Jimmy Lai , Founder Cheung Ka Sing, Cassian , chief executive officer Ting Ka Yu, Stephen , COO and CFO Ip Yut Kin , Executive Director","HK$1,660.8 million",1990s,Hong Kong
Nexteer Automotive,Automotive,"10,000+",http://www.nexteer.com,"Guibin Zhao [2] (CEO) Mike Richardson(President) Robert J. Remenar [1] (Former President, Former CEO, Former Board of Directors)",$2.4 billion +,2009 [1],"1272 Doris Rd, Auburn Hills, MI 48326, Auburn Hills, Michigan , United States"
NWS Holdings Company Limited ,Conglomerate,,http://www.nws.com.hk/,Chairman : Henry Cheng,,2002 ; 17 years ago ( 2002 ),"Hong Kong , Hong Kong"
Neway Group Holdings Limited,,,,"SUEK Ka Lun, Ernie Chairman",,1979,Hong Kong
"New China Life Insurance Co., Ltd.",Financial services,,"https://www.newchinalife.com/,https://www.wikidata.org/wiki/Q11084240?uselang=en#P856",,CN¥ 157.918 billion (2015),September 1996 ( 1996-09 ),"NCI Tower, Beijing , China"
NetDragon Websoft,,3300 (in 2014) [3],http://ir.netdragon.com,,,May 1999 ( 1999-05 ) [1],"Fuzhou [2] , China"
New World Department Store China,Department stores,,http://www.nwds.com.hk,Chairman : Mr. Henry Cheng,,1993,Hong Kong
Neo-Neon Holdings Limited ,Decorative lighting,,"http://www.neo-neon.com/,http://pro.neo-neon.com/,http://china.neo-neon.com/",Chairman :Mr. Lu Zhi Cheng CEO : Mr. Ben Fan,,1979,"Hong Kong , People's Republic of China"
Peak Sport Products Co. Limited,Sportswear and Sports Goods,,http://peaksport.com,,,1989 ; 30 years ago ( 1989 ),"Quanzhou , Fujian , China"
Most Kwai Chung Limited,Entertainment,,https://www.mostkwaichung.com/listing_documents,,,2013 ; 6 years ago ( 2013 ),
Mongolian Mining Corporation,Coal mining,"1,897 (30 June 2015)",http://www.mmc.mn/,Odjargal Jambaljamts (Chairman),USD 99.5 million,"May 18, 2010","Ulaanbaatar , Mongolia"
New World Development Company Limited ,conglomerate,"About 50,000 people (as of financial year 2014)",http://www.nwd.com.hk,Henry Cheng (Chairman & Executive Director) Adrian Cheng （Executive Vice-chairman and General Manager）,"HK $59,6 billion (as of financial year 2016)",,Hong Kong
Miramar Hotel and Investment Company Limited ,Hotel operations and management,,http://www.miramar-group.com/,Chairman and CEO : Mr. Lee Shau Kee,,1957 ; 62 years ago ( 1957 ),"Kowloon , Hong Kong"
MTR Corporation Limited,"Transport, property","28,053 (June 2017)","http://www.mtr.bj.cn/en/,http://www.mtrhz.com.cn/,http://www.mtrsz.com.cn/eng,http://www.mtr.com.mo/en/",Frederick Ma ( Chairman ) Jacob Kam ( CEO ),HK$ 55.4 billion (December 2017) [1],Beijing (16 January 2006 ( 2006-01-16 ) ) Hangzhou (6 September 2012 ( 2012-09-06 ) ) Macau (11 April 2018 ( 2018-04-11 ) ) Shenzhen (1 July 2010 ( 2010-07-01 ) ),"(Beijing, Hangzhou, Macau, & Shenzhen) , China"
Mongolia Energy Corporation,Coal mining,,http://mongolia-energy.com,Simon Lo [ zh ] (Chairman),,1972 ( 1972 ),Hong Kong
Metallurgical Corporation of China,"Mining, Real Estate",,http://www.mcc.com.cn/,Guo Wenqing (国文清) (Chairman),"CN¥215,785,772,000 (2014)",2008,"Beijing , China"
Midland Holdings Limited ,Real estate agent,,http://www.midlandholdings.com.hk/eng/,Chairman : Mr. Freddie Wong Kin Yip,,1973,"Hong Kong , Hong Kong"
"Mei Ah Entertainment Group Co., Ltd.",Media Publishing,,http://meiah.com,Li Kuo Hsing (Chairman),,1984,"Tseung Kwan O Industrial Estate , Hong Kong"
Mengniu Dairy Co. PLC,Dairy,"30,000",http://www.mengniu.com.cn/,Ning Gaoning (Chairman),$2.04 billion U.S. [1],1995 ; 24 years ago ( 1995 ),"Cayman Islands ( registered office ) Hohhot , Inner Mongolia , China (corporate headquarters)"
MicroPort Inc.,Medical Devices,5000 (2018),http://www.microport.com,"Zhaohua Chang, CEO Glendy Wang, COO Martin Sun, CFO Qiyi Luo, CTO",US$ 444.190 Million ( 2017 Annual ) [1],1998,"Shanghai , China"
Media Chinese International,,,"http://www.mediachinesegroup.com,http://www.mediachinese.com","Tiong Hiew King , Group Executive Chairman Tiong Kiew Chiong , Group CEO",,,Hong Kong
Maoye International Holdings Limited ,Department store,,http://www.maoye.cn/moien/,Chairman : Mr. Huang Maoru,,1996,"Shenzhen , Guangdong , People's Republic of China"
Media Asia Entertainment Group,Film & TV Entertainment,,http://www.mediaasia.com/home.php?locale=en,Peter Lam (chairman),,1994,"Hong Kong , China"
Orange Sky Golden Harvest,Film production,,http://osgh.com.hk,Raymond Chow Leonard Ho Peter Choy,,1970,"16th floor, The Peninsula Office Tower 18 Middle Road , Tsim Sha Tsui , Kowloon , Hong Kong [1]"
Melco International Development Limited ,Conglomerate,,http://www.melco-group.com,Chairman : Mr. Lawrence Ho,,1910 ; 109 years ago ( 1910 ) in British Hong Kong,"Hong Kong S.A.R. , China"
Lukfook Group Holdings,Jewellery Retail,,http://www.lukfook.com,Founder：Wong Wai Sheung （Chairman & Chief Executive）,,,Hong Kong
