Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Guotai Junan Securities,Financial services,,http://www.gtja.com,"YANG Dehong, Chairman of the Board WANG Song, President SHANG Hongbo, Chairman of the Supervisory Board [1]",RMB 37.6 billion（2015） [2],1992 ; 27 years ago ( 1992 ),"Shanghai , China"
"Baoding Tianwei Baobian Electric Co., Ltd.","Power engineering, electrical equipment manufacturing",,http://btwelectric.com,,,,"Baoding , Hebei , China"
Haitong Securities Company Limited ,Securities,,http://www.htsec.com/,,,1988 ; 31 years ago ( 1988 ),"Shanghai , People's Republic of China"
"Shandong HIPO Group Co., Ltd.",Automotive,"Approx. 3,000",http://www.heibao.com/,Wang Zhigang (President),,,"Weihai , China"
Hengtong Group,Power and fiber optic cable,,http://www.hengtonggroup.com/en/index.asp,,7.8 billion RMB (2012) [1],"Sino-Japanese Joint Venture Wujiang Miaodu Optical Cable Co., Ltd. (October 1993 ( 1993-10 ) )","Suzhou , China"
Guangshen Railway,Railway operations,,http://www.gsrc.com,Wu Yong (Chairman),,1996,"Shenzhen , China"
Greenland Holdings,"real estate, property development, construction, property investment, real estate financing",,"http://www.greenlandsc.com,https://www.wikidata.org/wiki/Q15902946?uselang=en#P856",Zhang Yuliang (Chairman & President),CN¥ 247.400 billion (2016),1992,"Shanghai , China"
GD Power Development Company ,Power generation,,http://www.600795.com.cn/,Zhou Dabing (chairman),,1992,"Beijing , China"
"Guangzhou Automobile Group Co., Ltd.",Automotive,,https://www.gac-motor.com,Mr. Zhang Fangyou (Chairman),"CN¥ 12,964,000,000 (2012) [2]",1955 ; 64 years ago ( 1955 ) [1],"Guangzhou , Guangdong , China"
China Gezhouba Group Company Limited,"Hydroelectric engineering, power transmission construction, transportation construction, real estate development","39,698 (2014) [1]",http://www.cggc.ceec.net.cn/,,CN¥ 71.605 billion (2014) [1],"January 23, 2006","Wuhan , Hubei , China"
Fuyao Glass Industry Group Co. Limited,Glass manufacturing,"10,000",http://www.fuyaogroup.com/en,Cao Dewang (chairman),,1987,"Fuqing , China"
Fushun Special Steel,,,http://www.fs-ss.com,,CN¥4.558 billion (2015),1937 1999 (listed company),"Fushun, Liaoning , China"
Dongfeng Automobile Company,automobile,"6,624 (2017)",http://www.dfac.com,,CN¥ 18.301 billion (2017),21 July 1999 ; 20 years ago ( 1999-07-21 ),"Xiangyang , China"
Everbright Securities,Financial services,,http://www.ebscn.com/,Guo Xinshuang (Charmian) Xue Feng (Vice-Charmian & CEO),,1996,"Shanghai , China"
Shanghai Fosun Pharmaceutical (Group),pharmaceutical medical,,https://www.fosunpharma.com,Chen Qiyu (chairman) Wu Yifang (CEO),,1994,"Shanghai , China"
Geo-Jade Petroleum,Oil and gas industry,,http://www.geojade.com/,,,,
Datang Telecom Technology,Telecommunications,,http://www.datang.com,,CN¥ 0 8.603 billion (2015),21 September 1998 ( 1998-09-21 ) (spin off),"Beijing , China"
Dongxing Securities,Financial services,,"http://www.dxzq.net/,https://www.wikidata.org/wiki/Q22231041?uselang=en#P856",,CN¥5.357 billion (2015),2008,"Beijing , China"
Daqin Railway Company Limited,Transportation,"40,388 [1]",http://www.daqintielu.com/,Chairman : Mr. Wu Xun,,2004,"Datong , Shanxi China"
Huaneng Power International,Power generation,,http://www.hpi.com.cn,Cao Peixi [ zh ] (chairman),,30 June 1994 ( 1994-06-30 ) in Beijing [1],"Beijing , China"
Datang International Power Generation Company ,Power Generation,,http://www.dtpower.com/en/,Chairman : Mr. Di Ruoyu,,1994,"Beijing , People's Republic of China"
Dongfang Electric Corporation ,Power plant equipment manufacturing,,"http://www.dongfang.com.cn/,http://www.dec-ltd.cn/",Wang Ji (王计) (Chairman),,1984,"Chengdu , Sichuan , China"
"CRRC Corp., Ltd.",Manufacturing,"183,061 (2016 [3] : 60 )",http://www.crrcgc.cc,"Liu Hualong (chairman of the board, party secretary ) [2] Xi Guohua (vice-chairman, deputy party secretary , president) [2] [3] Sun Yongcai ( executive director , vice-president ) [3] [4] Xu Zongxiang (executive director) [4] Wan Jun (chairman of the supervisory board, deputy party secretary ) Zhan Yanjing (CFO & vice-president) Wang Jun (vice-president) Lou Qiliang (vice-president) Yu Weiping (vice-president) [5]",CN¥ 224.138 billion (2016),1 June 2015 [1],"Beijing , China"
CITIC Securities Company Limited ,Financial services,,http://www.cs.ecitic.com,,,1995 ; 24 years ago ( 1995 ),"CITIC Securities Tower, Shenzhen , China"
COMEC,Shipbuilding and Shiprepairing,,http://comec.cssc.net.cn/,Li Zhushi (Chairman),,1954,"Guangzhou , Guangdong , China"
Dashang Group,Retail,"230,000 (2014) [1]",http://www.dsjt.com,Niu Gang (Chairman),CN¥170 billion (2014) [1],1995,"Dalian , Liaoning , China"
China State Construction Engineering Corporation ,Construction,,http://www.cscec.com.cn/,Zhou Naixiang ( Chairman ) ( Party Secretary ),,1957 ; 62 years ago ( 1957 ),"Beijing , People's Republic of China"
Chongqing Iron and Steel Company Limited ,Iron and steel manufacturing,,http://www.cqgtjt.com/,Chairman : Mr. Dong Lin,,1938,"Chongqing , People's Republic of China"
Yangtze Power,Hydroelectricity,,http://www.cypc.com.cn,Li Yongan (Chairman),,2002,"Beijing , China"
China Shenhua Energy,Metals and Mining,"74,949 (2011)",http://www.csec.com/,Chairman : Mr. Zhang Yuzuo,,1995,"Beijing , People's Republic of China"
"China Shipping Container Lines Co., Ltd",Shipping and logistics,,http://en.cscl.com.cn/,,,1997,"Shanghai , People's Republic of China"
China Shipping Development Company Limited ,Shipping and Logistics,,http://www.cnshippingdev.com/,Chairman : Mr. Li Shaode,,1994,"Shanghai , People's Republic of China"
China United Network Communications Group,Telecommunications,,http://www.chinaunicom.com,"Wang Xiaochu (chairman & Party Secretary ) Lu Yimin (vice-chairman, President , Deputy Party Secretary ) Li Fushen (director, VP, CFO , Deputy Party Secretary) [2] [nb 2] Shao Guanglu (VP, member of the party committee) [nb 3] Jiang Zhengxin (VP, member of the party committee) [nb 4] César Alierta (director of China Unicom (H.K.))",CN¥ 274.197 billion (2016),18 June 1994 ; 25 years ago ( 1994-06-18 ) [1],"Beijing , China"
China Railway Construction Corp.,Construction,"261,333 (2017) [2]",http://www.crcc.cn/,Chairman : Fengchao Meng,CN¥ 680.98 billion (2017) [2],1948 1990 (holding company) [1] 2007 (listed company) [1],"Beijing , China"
China Pacific Insurance (Group),Financial services,,http://www.cpic.com.cn,Kong Qingwei (chairman & executive director) Huo Lianhong (executive director) [1] Zhang Yuhua (deputy president),CN¥ 247.0 billion (2015),1991 ; 28 years ago ( 1991 ),"Shanghai , China"
China Molybdenum ,Metal and Phosphate mining,,http://www.chinamoly.com/,Chairman : Mr. Li Chaochun,CN¥ 7.432 billion (2018Q1),1982,"Luanchuan , Luoyang , Henan , People's Republic of China"
China National Chemical Engineering Co. Ltd. (CNCEC),Construction,,http://www.cncec.com.cn/eeshow.asp,,,,"Beijing , People's Republic of China"
China Oilfield Services Limited ,Oil exploration and Oil drilling,,http://www.cosl.com.cn/,Fu Chengyu ( Chairman ),,2001,"Beijing , China"
China Life Insurance Company Limited ,Financial services,,http://www.chinalife.com.cn,"Dairen Lin (CEO) , Chairman : Yang Mingsheng",,1949 ; 70 years ago ( 1949 ) (as PICC),"Beijing , China"
China Minsheng Banking Corporation Limited ,Bank,,http://www.cmbc.com.cn/,,$5.99 Billion US Dollars (2012),1996 ; 23 years ago ( 1996 ),"Beijing , China"
China Railway Group Limited,Construction,,http://www.crec.cn/,Chairman : Li Changjin,,2007,"Beijing , China"
China COSCO Holdings Company Limited ,Shipping and Logistics,"39,397 (as at 31 December 2013)",https://archive.is/20130119095716/http://www.chinacosco.com/ChinaCosco/pages/proscenium/en/index.jsp,Legal Representative and Chairman : Mr. Ma Zehua (马泽华),"RMB 66,137,861,000 (2013)",2005,"Tianjin , People's Republic of China"
China Merchants Bank Company Limited ,Banking,"74,590 (2018) [1]",http://www.cmbchina.com//,Li Jianhong ( Chairman ) Tian Huiyu (President & CEO ),CN¥ 248.44 billion $36.11 billion (2018) [1],1987 ; 32 years ago ( 1987 ),"Futian District , Shenzhen , Guangdong , China"
Baiyin Nonferrous Group,,,https://www.bynmc.com/,,CN¥ 55.950 billion (2016),1954 (predecessor) 24 November 2008 ( 2008-11-24 ),"No.96, Youhao Road,, Baiyin District, Baiyin City, Gansu Province , People's Republic of China"
China Fortune Land Development,Real estate development,,http://www.cfldcn.com,,CN¥38.335 billion (2015),,"Langfang, China (legal) Beijing, China (de facto)"
Anhui Conch Cement,Cement production and sales,,https://archive.is/20130101142000/http://www.conch.cn/,Chairman : Mr. Guo Wensan,,1997,"Wuhu , Anhui , People's Republic of China"
ArcSoft,Multimedia Software,,http://www.arcsoft.com,,,1994 ; 25 years ago ( 1994 ),"Fremont, California , United States"
China Everbright Bank,Financial services,,http://www.cebbank.com,Tang Shuangning (Charmian and Party Committee Secretary ) Zhang Jinliang (CEO and Party Committee Deputy Secretary),,1992,"China Everbright Center, 25 Taipingqiao Avenue, Xicheng District, Beijing , China"
Air China,,,http://www.airchina.com,Cai Jianjiang (President and CEO) Song Zhiyong (Chairman),,1988 ; 31 years ago,"Beijing Tianzhu Airport Industrial Zone Shunyi District , Beijing , China"
China Southern Airlines,,,"http://www.csair.com/en/index.shtml,http://www.csair.com/",Tan Wangeng (Vice Chairman/President),CN¥ 127.806 billion (2017) [1],1 July 1988 ; 31 years ago ( 1988-07-01 ),"Guangzhou , Guangdong, China"
Aluminum Corporation of China Limited,Metals,"103,493 (2013)","http://www.chalco.com.cn,http://www.chinalco.com","Xiong Weiping (CEO) , Ge Honglin (Chairman of the Board)",RMB 71.1 billion (2013),"2001 ; 18 years ago ( 2001 ) ( Beijing , China )","Beijing , China"
China Eastern Airlines,,,http://www.ceair.com,Liu Shaoyong (Chairman),CN¥ 85.25 billion (2012) [1],25 June 1988 ; 31 years ago ( 1988-06-25 ),"No. 2550 Hongqiao Rd, Shanghai"
Agricultural Bank of China,"Banking , financial services","473,691 (2018) [1]",http://www.abchina.com,Zhao Huan (President),CN¥ 602.56 billion $87.6 billion (2018) [1] [2],1951 ; 68 years ago ( 1951 ),"Beijing , China"
